0.000246,-0.000293,-0.000321,-1.6E-05,-0.000587,1E-05,0
0.000246,-0.000293,-0.000321,-1.6E-05,-0.000587,1E-05,1
0.000245,-0.000293,-0.00032,-1.9E-05,-0.000582,1E-05,2
0.000245,-0.000293,-0.00032,-2E-05,-0.000583,1E-05,3
0.000246,-0.000293,-0.00032,-1.9E-05,-0.000584,1E-05,4
0.000245,-0.000293,-0.000321,-2.4E-05,-0.000567,1E-05,5
0.000245,-0.000293,-0.000322,-2.5E-05,-0.000569,1E-05,6
0.000246,-0.000293,-0.000323,-2.5E-05,-0.000571,1E-05,7
0.000246,-0.000293,-0.000319,-2.7E-05,-0.000575,1E-05,8
0.000246,-0.000293,-0.000339,4E-06,-0.000602,1E-05,9
0.000246,-0.000293,-0.000339,4E-06,-0.000605,1E-05,10
0.000243,-0.000293,-0.000336,-4E-06,-0.000608,1E-05,11
0.000203,-0.000295,-0.000336,-4E-06,-0.000615,1E-05,12
-0.00026,-0.000298,-0.000324,-6E-06,-0.00062,1.7E-05,13
-0.00026,-0.000298,-0.000324,-6E-06,-0.00062,1.7E-05,14
-0.000366,-0.000292,-0.00031,-6E-06,-0.000625,1.8E-05,15
-0.000429,-0.000285,-0.000292,-6E-06,-0.000624,-2.5E-05,16
-0.000408,-0.000283,-0.000288,-5E-06,-0.00061,-2.1E-05,17
-0.000346,-0.000277,-0.000294,-5E-06,-0.000586,-2.3E-05,18
-0.000264,-0.000274,-0.000307,-4E-06,-0.000554,-2.5E-05,19
-0.00022,-0.000272,-0.000317,-4E-06,-0.000525,-2.6E-05,20
-0.00021,-0.00027,-0.000312,-4E-06,-0.000502,-2.6E-05,21
-0.000237,-0.000281,-0.000286,-4E-06,-0.000475,-1.9E-05,22
-0.000237,-0.000281,-0.000286,-4E-06,-0.000475,-1.9E-05,23
-0.000211,-0.000292,-0.000282,-1.2E-05,-0.000447,-1.5E-05,24
-0.000211,-0.000292,-0.000282,-1.2E-05,-0.000447,-1.5E-05,25
-0.000187,-0.0003,-0.000298,-9E-06,-0.000436,1.7E-05,26
0.000187,-0.000307,-0.000306,-7E-06,-0.000438,2.1E-05,27
0.000206,-0.000311,-0.000321,-7E-06,-0.000437,2.9E-05,28
0.000196,-0.000325,-0.000332,-8E-06,-0.000478,4.1E-05,29
0.000196,-0.000325,-0.000332,-8E-06,-0.000478,4.1E-05,30
0.000187,-0.000327,-0.000341,-9E-06,-0.000512,4.3E-05,31
0.000187,-0.000327,-0.00036,-1.2E-05,-0.000545,4.3E-05,32
0.000192,-0.00032,-0.000397,-2.1E-05,-0.000625,3.6E-05,33
0.000192,-0.00032,-0.000397,-2.1E-05,-0.000625,3.6E-05,34
0.000198,-0.000314,-0.000433,4E-06,-0.000677,2.9E-05,35
0.000191,-0.000306,-0.000459,-4E-06,-0.000725,2.1E-05,36
-0.000194,-0.000299,-0.000482,-2.8E-05,-0.000813,1.4E-05,37
-0.000194,-0.000299,-0.000482,-2.8E-05,-0.000813,1.4E-05,38
-0.00053,-0.000298,-0.00051,-1.1E-05,-0.00092,-2.1E-05,39
-0.00053,-0.000298,-0.00051,-1.1E-05,-0.00092,-2.1E-05,40
